City,Year,Month,Employment,Unemployment,Unemployment Rate,Labor Force,Rent,House Price,Income,Population
Abilene,1990.0,1.0,64578.0,3903.0,5.7,68481.0,,,,16986335.0
Abilene,1990.0,2.0,64578.0,3872.0,5.7,68450.0,,,,16986335.0
Abilene,1990.0,3.0,64617.0,3861.0,5.6,68478.0,,,,16986335.0
Abilene,1990.0,4.0,64729.0,3897.0,5.7,68626.0,,,,16986335.0
Abilene,1990.0,5.0,64795.0,3930.0,5.7,68725.0,,,,16986335.0
Abilene,1990.0,6.0,64550.0,3957.0,5.8,68507.0,,,,16986335.0
Abilene,1990.0,7.0,64175.0,4085.0,6.0,68260.0,,,,16986335.0
Abilene,1990.0,8.0,64143.0,4296.0,6.3,68439.0,,,,16986335.0
Abilene,1990.0,9.0,64384.0,4349.0,6.3,68733.0,,,,16986335.0
Abilene,1990.0,10.0,64555.0,4242.0,6.2,68797.0,,,,16986335.0
Abilene,1990.0,11.0,64592.0,4175.0,6.1,68767.0,,,,16986335.0
Abilene,1990.0,12.0,64681.0,4066.0,5.9,68747.0,,,,16986335.0
Abilene,1991.0,1.0,64872.0,3837.0,5.6,68709.0,,,,17398005.0
Abilene,1991.0,2.0,65056.0,3687.0,5.4,68743.0,,,,17398005.0
Abilene,1991.0,3.0,65209.0,3711.0,5.4,68920.0,,,,17398005.0
Abilene,1991.0,4.0,65244.0,3789.0,5.5,69033.0,,,,17398005.0
Abilene,1991.0,5.0,65299.0,3799.0,5.5,69098.0,,,,17398005.0
Abilene,1991.0,6.0,65729.0,3711.0,5.3,69440.0,,,,17398005.0
Abilene,1991.0,7.0,66177.0,3581.0,5.1,69758.0,,,,17398005.0
Abilene,1991.0,8.0,66213.0,3498.0,5.0,69711.0,,,,17398005.0
Abilene,1991.0,9.0,66075.0,3514.0,5.0,69589.0,,,,17398005.0
Abilene,1991.0,10.0,66053.0,3590.0,5.2,69643.0,,,,17398005.0
Abilene,1991.0,11.0,66203.0,3636.0,5.2,69839.0,,,,17398005.0
Abilene,1991.0,12.0,66382.0,3664.0,5.2,70046.0,,,,17398005.0
Abilene,1992.0,1.0,66368.0,3763.0,5.4,70131.0,,,,17759738.0
Abilene,1992.0,2.0,66186.0,3885.0,5.5,70071.0,,,,17759738.0
Abilene,1992.0,3.0,66278.0,3864.0,5.5,70142.0,,,,17759738.0
Abilene,1992.0,4.0,66603.0,3798.0,5.4,70401.0,,,,17759738.0
Abilene,1992.0,5.0,66846.0,3849.0,5.4,70695.0,,,,17759738.0
Abilene,1992.0,6.0,67192.0,3911.0,5.5,71103.0,,,,17759738.0
Abilene,1992.0,7.0,67610.0,3883.0,5.4,71493.0,,,,17759738.0
Abilene,1992.0,8.0,67827.0,3879.0,5.4,71706.0,,,,17759738.0
Abilene,1992.0,9.0,67731.0,3958.0,5.5,71689.0,,,,17759738.0
Abilene,1992.0,10.0,67496.0,4028.0,5.6,71524.0,,,,17759738.0
Abilene,1992.0,11.0,67666.0,4059.0,5.7,71725.0,,,,17759738.0
Abilene,1992.0,12.0,68204.0,4008.0,5.6,72212.0,,,,17759738.0
Abilene,1993.0,1.0,68476.0,3853.0,5.3,72329.0,,,,18161612.0
Abilene,1993.0,2.0,68499.0,3715.0,5.1,72214.0,,,,18161612.0
Abilene,1993.0,3.0,68447.0,3663.0,5.1,72110.0,,,,18161612.0
Abilene,1993.0,4.0,68447.0,3657.0,5.1,72104.0,,,,18161612.0
Abilene,1993.0,5.0,68755.0,3722.0,5.1,72477.0,,,,18161612.0
Abilene,1993.0,6.0,69080.0,3902.0,5.3,72982.0,,,,18161612.0
Abilene,1993.0,7.0,69192.0,4058.0,5.5,73250.0,,,,18161612.0
Abilene,1993.0,8.0,69149.0,4072.0,5.6,73221.0,,,,18161612.0
Abilene,1993.0,9.0,69058.0,4056.0,5.5,73114.0,,,,18161612.0
Abilene,1993.0,10.0,69054.0,4063.0,5.6,73117.0,,,,18161612.0
Abilene,1993.0,11.0,69087.0,4036.0,5.5,73123.0,,,,18161612.0
Abilene,1993.0,12.0,69195.0,4016.0,5.5,73211.0,,,,18161612.0
Abilene,1994.0,1.0,69401.0,4069.0,5.5,73470.0,,,,18564062.0
Abilene,1994.0,2.0,69572.0,4121.0,5.6,73693.0,,,,18564062.0
Abilene,1994.0,3.0,69716.0,4063.0,5.5,73779.0,,,,18564062.0
Abilene,1994.0,4.0,69901.0,3895.0,5.3,73796.0,,,,18564062.0
Abilene,1994.0,5.0,69925.0,3703.0,5.0,73628.0,,,,18564062.0
Abilene,1994.0,6.0,69806.0,3581.0,4.9,73387.0,,,,18564062.0
Abilene,1994.0,7.0,69927.0,3509.0,4.8,73436.0,,,,18564062.0
Abilene,1994.0,8.0,70307.0,3414.0,4.6,73721.0,,,,18564062.0
Abilene,1994.0,9.0,70847.0,3340.0,4.5,74187.0,,,,18564062.0
Abilene,1994.0,10.0,71430.0,3315.0,4.4,74745.0,,,,18564062.0
Abilene,1994.0,11.0,71716.0,3271.0,4.4,74987.0,,,,18564062.0
Abilene,1994.0,12.0,71886.0,3279.0,4.4,75165.0,,,,18564062.0
Abilene,1995.0,1.0,72185.0,3377.0,4.5,75562.0,,,,18958751.0
Abilene,1995.0,2.0,72292.0,3438.0,4.5,75730.0,,,,18958751.0
Abilene,1995.0,3.0,72219.0,3529.0,4.7,75748.0,,,,18958751.0
Abilene,1995.0,4.0,72211.0,3673.0,4.8,75884.0,,,,18958751.0
Abilene,1995.0,5.0,72152.0,3726.0,4.9,75878.0,,,,18958751.0
Abilene,1995.0,6.0,72129.0,3724.0,4.9,75853.0,,,,18958751.0
Abilene,1995.0,7.0,72277.0,3748.0,4.9,76025.0,,,,18958751.0
Abilene,1995.0,8.0,72512.0,3774.0,4.9,76286.0,,,,18958751.0
Abilene,1995.0,9.0,72870.0,3765.0,4.9,76635.0,,,,18958751.0
Abilene,1995.0,10.0,73173.0,3750.0,4.9,76923.0,,,,18958751.0
Abilene,1995.0,11.0,73185.0,3785.0,4.9,76970.0,,,,18958751.0
Abilene,1995.0,12.0,72985.0,3875.0,5.0,76860.0,,,,18958751.0
Abilene,1996.0,1.0,72841.0,3958.0,5.2,76799.0,,,,19340342.0
Abilene,1996.0,2.0,72997.0,3957.0,5.1,76954.0,,,,19340342.0
Abilene,1996.0,3.0,73302.0,3893.0,5.0,77195.0,,,,19340342.0
Abilene,1996.0,4.0,73489.0,3807.0,4.9,77296.0,,,,19340342.0
Abilene,1996.0,5.0,73536.0,3674.0,4.8,77210.0,,,,19340342.0
Abilene,1996.0,6.0,73480.0,3518.0,4.6,76998.0,,,,19340342.0
Abilene,1996.0,7.0,73366.0,3408.0,4.4,76774.0,,,,19340342.0
Abilene,1996.0,8.0,73411.0,3332.0,4.3,76743.0,,,,19340342.0
Abilene,1996.0,9.0,73616.0,3283.0,4.3,76899.0,,,,19340342.0
Abilene,1996.0,10.0,73813.0,3277.0,4.3,77090.0,,,,19340342.0
Abilene,1996.0,11.0,73982.0,3271.0,4.2,77253.0,,,,19340342.0
Abilene,1996.0,12.0,73952.0,3222.0,4.2,77174.0,,,,19340342.0
Abilene,1997.0,1.0,73686.0,3171.0,4.1,76857.0,,,,19740317.0
Abilene,1997.0,2.0,73587.0,3189.0,4.2,76776.0,,,,19740317.0
Abilene,1997.0,3.0,73701.0,3205.0,4.2,76906.0,,,,19740317.0
Abilene,1997.0,4.0,73758.0,3142.0,4.1,76900.0,,,,19740317.0
Abilene,1997.0,5.0,73770.0,3071.0,4.0,76841.0,,,,19740317.0
Abilene,1997.0,6.0,73689.0,3006.0,3.9,76695.0,,,,19740317.0
Abilene,1997.0,7.0,73589.0,2930.0,3.8,76519.0,,,,19740317.0
Abilene,1997.0,8.0,73597.0,2856.0,3.7,76453.0,,,,19740317.0
Abilene,1997.0,9.0,73600.0,2776.0,3.6,76376.0,,,,19740317.0
Abilene,1997.0,10.0,73690.0,2702.0,3.5,76392.0,,,,19740317.0
Abilene,1997.0,11.0,73777.0,2663.0,3.5,76440.0,,,,19740317.0
Abilene,1997.0,12.0,73829.0,2646.0,3.5,76475.0,,,,19740317.0
Abilene,1998.0,1.0,74195.0,2617.0,3.4,76812.0,,,21816.0,20157531.0
Abilene,1998.0,2.0,74552.0,2601.0,3.4,77153.0,,,21816.0,20157531.0
Abilene,1998.0,3.0,74491.0,2607.0,3.4,77098.0,,,21816.0,20157531.0
Abilene,1998.0,4.0,74288.0,2634.0,3.4,76922.0,,,21816.0,20157531.0
Abilene,1998.0,5.0,74189.0,2725.0,3.5,76914.0,,,21816.0,20157531.0
Abilene,1998.0,6.0,74253.0,2833.0,3.7,77086.0,,,21816.0,20157531.0
Abilene,1998.0,7.0,74336.0,2903.0,3.8,77239.0,,,21816.0,20157531.0
Abilene,1998.0,8.0,74219.0,2958.0,3.8,77177.0,,,21816.0,20157531.0
Abilene,1998.0,9.0,73943.0,2976.0,3.9,76919.0,,,21816.0,20157531.0
Abilene,1998.0,10.0,73589.0,2928.0,3.8,76517.0,,,21816.0,20157531.0
Abilene,1998.0,11.0,73315.0,2853.0,3.7,76168.0,,,21816.0,20157531.0
Abilene,1998.0,12.0,73107.0,2824.0,3.7,75931.0,,,21816.0,20157531.0
Abilene,1999.0,1.0,72912.0,2851.0,3.8,75763.0,,,22439.0,20558220.0
Abilene,1999.0,2.0,72901.0,2854.0,3.8,75755.0,,,22439.0,20558220.0
Abilene,1999.0,3.0,72941.0,2832.0,3.7,75773.0,,,22439.0,20558220.0
Abilene,1999.0,4.0,72952.0,2836.0,3.7,75788.0,,,22439.0,20558220.0
Abilene,1999.0,5.0,73051.0,2828.0,3.7,75879.0,,,22439.0,20558220.0
Abilene,1999.0,6.0,73103.0,2808.0,3.7,75911.0,,,22439.0,20558220.0
Abilene,1999.0,7.0,73051.0,2800.0,3.7,75851.0,,,22439.0,20558220.0
Abilene,1999.0,8.0,73010.0,2798.0,3.7,75808.0,,,22439.0,20558220.0
Abilene,1999.0,9.0,72945.0,2819.0,3.7,75764.0,,,22439.0,20558220.0
Abilene,1999.0,10.0,72896.0,2877.0,3.8,75773.0,,,22439.0,20558220.0
Abilene,1999.0,11.0,72903.0,2958.0,3.9,75861.0,,,22439.0,20558220.0
Abilene,1999.0,12.0,72879.0,3020.0,4.0,75899.0,,,22439.0,20558220.0
Abilene,2000.0,1.0,72960.0,3313.0,4.3,76273.0,,,22917.0,20851820.0
Abilene,2000.0,2.0,72947.0,3341.0,4.4,76288.0,,,22917.0,20851820.0
Abilene,2000.0,3.0,72948.0,3262.0,4.3,76210.0,,,22917.0,20851820.0
Abilene,2000.0,4.0,72869.0,3151.0,4.1,76020.0,,,22917.0,20851820.0
Abilene,2000.0,5.0,72605.0,3100.0,4.1,75705.0,,,22917.0,20851820.0
Abilene,2000.0,6.0,72219.0,3035.0,4.0,75254.0,,,22917.0,20851820.0
Abilene,2000.0,7.0,71898.0,3010.0,4.0,74908.0,,,22917.0,20851820.0
Abilene,2000.0,8.0,71747.0,3044.0,4.1,74791.0,,,22917.0,20851820.0
Abilene,2000.0,9.0,71722.0,3050.0,4.1,74772.0,,,22917.0,20851820.0
Abilene,2000.0,10.0,71829.0,3003.0,4.0,74832.0,,,22917.0,20851820.0
Abilene,2000.0,11.0,72032.0,2934.0,3.9,74966.0,,,22917.0,20851820.0
Abilene,2000.0,12.0,72247.0,2937.0,3.9,75184.0,,,22917.0,20851820.0
Abilene,2001.0,1.0,72407.0,2998.0,4.0,75405.0,,,23643.0,21319622.0
Abilene,2001.0,2.0,72429.0,3058.0,4.1,75487.0,,,23643.0,21319622.0
Abilene,2001.0,3.0,72292.0,3171.0,4.2,75463.0,,,23643.0,21319622.0
Abilene,2001.0,4.0,72083.0,3273.0,4.3,75356.0,,,23643.0,21319622.0
Abilene,2001.0,5.0,71921.0,3303.0,4.4,75224.0,,,23643.0,21319622.0
Abilene,2001.0,6.0,71817.0,3309.0,4.4,75126.0,,,23643.0,21319622.0
Abilene,2001.0,7.0,71672.0,3335.0,4.4,75007.0,,,23643.0,21319622.0
Abilene,2001.0,8.0,71478.0,3410.0,4.6,74888.0,,,23643.0,21319622.0
Abilene,2001.0,9.0,71486.0,3497.0,4.7,74983.0,,,23643.0,21319622.0
Abilene,2001.0,10.0,71800.0,3565.0,4.7,75365.0,,,23643.0,21319622.0
Abilene,2001.0,11.0,72179.0,3609.0,4.8,75788.0,,,23643.0,21319622.0
Abilene,2001.0,12.0,72493.0,3657.0,4.8,76150.0,,,23643.0,21319622.0
Abilene,2002.0,1.0,72839.0,3676.0,4.8,76515.0,,,24591.0,21690325.0
Abilene,2002.0,2.0,73263.0,3684.0,4.8,76947.0,,,24591.0,21690325.0
Abilene,2002.0,3.0,73538.0,3797.0,4.9,77335.0,,,24591.0,21690325.0
Abilene,2002.0,4.0,73543.0,3907.0,5.0,77450.0,,,24591.0,21690325.0
