Year,Period ID,Period,Area,Adjusted,Employment
"2017","01","Jan","Abilene MSA","Adj","71,281"
"2017","02","Feb","Abilene MSA","Adj","71,645"
"2017","03","Mar","Abilene MSA","Adj","71,935"
"2017","04","Apr","Abilene MSA","Adj","72,095"
"2017","05","May","Abilene MSA","Adj","71,677"
"2017","06","Jun","Abilene MSA","Adj","71,342"
"2017","07","Jul","Abilene MSA","Adj","71,022"
"2017","08","Aug","Abilene MSA","Adj","71,069"
"2017","09","Sep","Abilene MSA","Adj","71,540"
"2016","01","Jan","Abilene MSA","Adj","72,368"
"2016","02","Feb","Abilene MSA","Adj","73,052"
"2016","03","Mar","Abilene MSA","Adj","73,226"
"2016","04","Apr","Abilene MSA","Adj","73,082"
"2016","05","May","Abilene MSA","Adj","72,745"
"2016","06","Jun","Abilene MSA","Adj","72,634"
"2016","07","Jul","Abilene MSA","Adj","72,730"
"2016","08","Aug","Abilene MSA","Adj","72,822"
"2016","09","Sep","Abilene MSA","Adj","72,845"
"2016","10","Oct","Abilene MSA","Adj","72,910"
"2016","11","Nov","Abilene MSA","Adj","72,990"
"2016","12","Dec","Abilene MSA","Adj","72,968"
"2015","01","Jan","Abilene MSA","Adj","72,446"
"2015","02","Feb","Abilene MSA","Adj","72,421"
"2015","03","Mar","Abilene MSA","Adj","72,357"
"2015","04","Apr","Abilene MSA","Adj","72,356"
"2015","05","May","Abilene MSA","Adj","72,406"
"2015","06","Jun","Abilene MSA","Adj","72,417"
"2015","07","Jul","Abilene MSA","Adj","72,352"
"2015","08","Aug","Abilene MSA","Adj","72,225"
"2015","09","Sep","Abilene MSA","Adj","72,054"
"2015","10","Oct","Abilene MSA","Adj","71,915"
"2015","11","Nov","Abilene MSA","Adj","71,880"
"2015","12","Dec","Abilene MSA","Adj","71,917"
"2014","01","Jan","Abilene MSA","Adj","72,878"
"2014","02","Feb","Abilene MSA","Adj","72,835"
"2014","03","Mar","Abilene MSA","Adj","72,848"
"2014","04","Apr","Abilene MSA","Adj","72,943"
"2014","05","May","Abilene MSA","Adj","73,039"
"2014","06","Jun","Abilene MSA","Adj","73,053"
"2014","07","Jul","Abilene MSA","Adj","72,955"
"2014","08","Aug","Abilene MSA","Adj","72,790"
"2014","09","Sep","Abilene MSA","Adj","72,617"
"2014","10","Oct","Abilene MSA","Adj","72,470"
"2014","11","Nov","Abilene MSA","Adj","72,393"
"2014","12","Dec","Abilene MSA","Adj","72,404"
"2013","01","Jan","Abilene MSA","Adj","72,249"
"2013","02","Feb","Abilene MSA","Adj","72,244"
"2013","03","Mar","Abilene MSA","Adj","72,279"
"2013","04","Apr","Abilene MSA","Adj","72,375"
"2013","05","May","Abilene MSA","Adj","72,466"
"2013","06","Jun","Abilene MSA","Adj","72,498"
"2013","07","Jul","Abilene MSA","Adj","72,487"
"2013","08","Aug","Abilene MSA","Adj","72,495"
"2013","09","Sep","Abilene MSA","Adj","72,578"
"2013","10","Oct","Abilene MSA","Adj","72,715"
"2013","11","Nov","Abilene MSA","Adj","72,854"
"2013","12","Dec","Abilene MSA","Adj","72,908"
"2012","01","Jan","Abilene MSA","Adj","72,070"
"2012","02","Feb","Abilene MSA","Adj","72,048"
"2012","03","Mar","Abilene MSA","Adj","71,917"
"2012","04","Apr","Abilene MSA","Adj","71,676"
"2012","05","May","Abilene MSA","Adj","71,506"
"2012","06","Jun","Abilene MSA","Adj","71,532"
"2012","07","Jul","Abilene MSA","Adj","71,723"
"2012","08","Aug","Abilene MSA","Adj","71,965"
"2012","09","Sep","Abilene MSA","Adj","72,190"
"2012","10","Oct","Abilene MSA","Adj","72,321"
"2012","11","Nov","Abilene MSA","Adj","72,329"
"2012","12","Dec","Abilene MSA","Adj","72,284"
"2011","01","Jan","Abilene MSA","Adj","71,400"
"2011","02","Feb","Abilene MSA","Adj","71,435"
"2011","03","Mar","Abilene MSA","Adj","71,475"
"2011","04","Apr","Abilene MSA","Adj","71,477"
"2011","05","May","Abilene MSA","Adj","71,455"
"2011","06","Jun","Abilene MSA","Adj","71,445"
"2011","07","Jul","Abilene MSA","Adj","71,483"
"2011","08","Aug","Abilene MSA","Adj","71,592"
"2011","09","Sep","Abilene MSA","Adj","71,768"
"2011","10","Oct","Abilene MSA","Adj","71,966"
"2011","11","Nov","Abilene MSA","Adj","72,075"
"2011","12","Dec","Abilene MSA","Adj","72,085"
"2010","01","Jan","Abilene MSA","Adj","70,489"
"2010","02","Feb","Abilene MSA","Adj","70,642"
"2010","03","Mar","Abilene MSA","Adj","70,865"
"2010","04","Apr","Abilene MSA","Adj","71,053"
"2010","05","May","Abilene MSA","Adj","71,153"
"2010","06","Jun","Abilene MSA","Adj","71,224"
"2010","07","Jul","Abilene MSA","Adj","71,310"
"2010","08","Aug","Abilene MSA","Adj","71,381"
"2010","09","Sep","Abilene MSA","Adj","71,375"
"2010","10","Oct","Abilene MSA","Adj","71,322"
"2010","11","Nov","Abilene MSA","Adj","71,301"
"2010","12","Dec","Abilene MSA","Adj","71,346"
"2009","01","Jan","Abilene MSA","Adj","78,262"
"2009","02","Feb","Abilene MSA","Adj","78,067"
"2009","03","Mar","Abilene MSA","Adj","78,005"
"2009","04","Apr","Abilene MSA","Adj","78,014"
"2009","05","May","Abilene MSA","Adj","77,964"
"2009","06","Jun","Abilene MSA","Adj","77,923"
"2009","07","Jul","Abilene MSA","Adj","77,936"
"2009","08","Aug","Abilene MSA","Adj","77,924"
"2009","09","Sep","Abilene MSA","Adj","77,820"
"2009","10","Oct","Abilene MSA","Adj","77,656"
"2009","11","Nov","Abilene MSA","Adj","77,511"
"2009","12","Dec","Abilene MSA","Adj","77,401"
"2008","01","Jan","Abilene MSA","Adj","77,951"
"2008","02","Feb","Abilene MSA","Adj","78,406"
"2008","03","Mar","Abilene MSA","Adj","78,775"
"2008","04","Apr","Abilene MSA","Adj","79,023"
"2008","05","May","Abilene MSA","Adj","79,119"
"2008","06","Jun","Abilene MSA","Adj","79,122"
"2008","07","Jul","Abilene MSA","Adj","79,115"
"2008","08","Aug","Abilene MSA","Adj","79,152"
"2008","09","Sep","Abilene MSA","Adj","79,214"
"2008","10","Oct","Abilene MSA","Adj","79,177"
"2008","11","Nov","Abilene MSA","Adj","78,942"
"2008","12","Dec","Abilene MSA","Adj","78,580"
"2007","01","Jan","Abilene MSA","Adj","77,556"
"2007","02","Feb","Abilene MSA","Adj","77,151"
"2007","03","Mar","Abilene MSA","Adj","76,894"
"2007","04","Apr","Abilene MSA","Adj","76,805"
"2007","05","May","Abilene MSA","Adj","76,877"
"2007","06","Jun","Abilene MSA","Adj","77,067"
"2007","07","Jul","Abilene MSA","Adj","77,292"
"2007","08","Aug","Abilene MSA","Adj","77,382"
"2007","09","Sep","Abilene MSA","Adj","77,295"
"2007","10","Oct","Abilene MSA","Adj","77,190"
"2007","11","Nov","Abilene MSA","Adj","77,240"
"2007","12","Dec","Abilene MSA","Adj","77,513"
"2006","01","Jan","Abilene MSA","Adj","77,675"
"2006","02","Feb","Abilene MSA","Adj","77,768"
"2006","03","Mar","Abilene MSA","Adj","77,934"
"2006","04","Apr","Abilene MSA","Adj","78,208"
"2006","05","May","Abilene MSA","Adj","78,509"
"2006","06","Jun","Abilene MSA","Adj","78,650"
"2006","07","Jul","Abilene MSA","Adj","78,546"
"2006","08","Aug","Abilene MSA","Adj","78,311"
"2006","09","Sep","Abilene MSA","Adj","78,144"
"2006","10","Oct","Abilene MSA","Adj","78,144"
"2006","11","Nov","Abilene MSA","Adj","78,150"
"2006","12","Dec","Abilene MSA","Adj","77,958"
"2005","01","Jan","Abilene MSA","Adj","76,129"
"2005","02","Feb","Abilene MSA","Adj","75,883"
"2005","03","Mar","Abilene MSA","Adj","75,747"
"2005","04","Apr","Abilene MSA","Adj","75,794"
"2005","05","May","Abilene MSA","Adj","75,996"
"2005","06","Jun","Abilene MSA","Adj","76,356"
"2005","07","Jul","Abilene MSA","Adj","76,857"
"2005","08","Aug","Abilene MSA","Adj","77,304"
"2005","09","Sep","Abilene MSA","Adj","77,609"
"2005","10","Oct","Abilene MSA","Adj","77,725"
"2005","11","Nov","Abilene MSA","Adj","77,661"
"2005","12","Dec","Abilene MSA","Adj","77,621"
"2004","01","Jan","Abilene MSA","Adj","75,491"
"2004","02","Feb","Abilene MSA","Adj","75,398"
"2004","03","Mar","Abilene MSA","Adj","75,322"
"2004","04","Apr","Abilene MSA","Adj","75,343"
"2004","05","May","Abilene MSA","Adj","75,456"
"2004","06","Jun","Abilene MSA","Adj","75,612"
"2004","07","Jul","Abilene MSA","Adj","75,781"
"2004","08","Aug","Abilene MSA","Adj","76,078"
"2004","09","Sep","Abilene MSA","Adj","76,439"
"2004","10","Oct","Abilene MSA","Adj","76,611"
"2004","11","Nov","Abilene MSA","Adj","76,564"
"2004","12","Dec","Abilene MSA","Adj","76,384"
"2003","01","Jan","Abilene MSA","Adj","74,862"
"2003","02","Feb","Abilene MSA","Adj","75,173"
"2003","03","Mar","Abilene MSA","Adj","75,397"
"2003","04","Apr","Abilene MSA","Adj","75,558"
"2003","05","May","Abilene MSA","Adj","75,669"
"2003","06","Jun","Abilene MSA","Adj","75,647"
"2003","07","Jul","Abilene MSA","Adj","75,469"
"2003","08","Aug","Abilene MSA","Adj","75,310"
"2003","09","Sep","Abilene MSA","Adj","75,201"
"2003","10","Oct","Abilene MSA","Adj","75,160"
"2003","11","Nov","Abilene MSA","Adj","75,305"
"2003","12","Dec","Abilene MSA","Adj","75,475"
"2002","01","Jan","Abilene MSA","Adj","72,839"
"2002","02","Feb","Abilene MSA","Adj","73,263"
"2002","03","Mar","Abilene MSA","Adj","73,538"
"2002","04","Apr","Abilene MSA","Adj","73,543"
"2002","05","May","Abilene MSA","Adj","73,511"
"2002","06","Jun","Abilene MSA","Adj","73,598"
"2002","07","Jul","Abilene MSA","Adj","73,820"
"2002","08","Aug","Abilene MSA","Adj","74,069"
"2002","09","Sep","Abilene MSA","Adj","74,183"
"2002","10","Oct","Abilene MSA","Adj","74,167"
"2002","11","Nov","Abilene MSA","Adj","74,217"
"2002","12","Dec","Abilene MSA","Adj","74,489"
"2001","01","Jan","Abilene MSA","Adj","72,407"
"2001","02","Feb","Abilene MSA","Adj","72,429"
"2001","03","Mar","Abilene MSA","Adj","72,292"
"2001","04","Apr","Abilene MSA","Adj","72,083"
"2001","05","May","Abilene MSA","Adj","71,921"
"2001","06","Jun","Abilene MSA","Adj","71,817"
"2001","07","Jul","Abilene MSA","Adj","71,672"
"2001","08","Aug","Abilene MSA","Adj","71,478"
"2001","09","Sep","Abilene MSA","Adj","71,486"
