Year,Period,Area,Income Source,Income Type,Income
"2015","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$41,732"
"2014","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$41,330"
"2013","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$38,831"
"2012","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$37,769"
"2011","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$36,013"
"2010","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$34,093"
"2009","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$32,984"
"2008","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$35,006"
"2007","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$31,645"
"2006","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$29,840"
"2005","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$28,243"
"2004","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$26,909"
"2003","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$26,051"
"2002","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$24,591"
"2001","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$23,643"
"2000","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$22,917"
"1999","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$22,439"
"1998","Annual","Abilene MSA","BEA","Per Capita Personal Income - BEA","$21,816"
"2015","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$43,648"
"2014","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$42,264"
"2013","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$40,321"
"2012","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$40,179"
"2011","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$38,975"
"2010","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$37,003"
"2009","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$34,737"
"2008","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$36,396"
"2007","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$33,265"
"2006","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$31,326"
"2005","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$29,881"
"2004","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$27,756"
"2003","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$27,404"
"2002","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$26,409"
"2001","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$25,774"
"2000","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$23,950"
"1999","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$23,141"
"1998","Annual","Amarillo MSA","BEA","Per Capita Personal Income - BEA","$22,874"
"2015","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$51,014"
"2014","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$49,001"
"2013","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$46,241"
"2012","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$45,943"
"2011","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$42,948"
"2010","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$40,078"
"2009","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$39,015"
"2008","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$41,609"
"2007","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$39,374"
"2006","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$38,086"
"2005","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$35,769"
"2004","Annual","Austin-Round Rock MSA","BEA","Per Capita Personal Income - BEA","$33,347"
