Year,Period ID,Period,Area,Adjusted,Unemployment
"2017","01","Jan","Abilene MSA","Adj","3,044"
"2017","02","Feb","Abilene MSA","Adj","3,224"
"2017","03","Mar","Abilene MSA","Adj","3,214"
"2017","04","Apr","Abilene MSA","Adj","3,155"
"2017","05","May","Abilene MSA","Adj","3,094"
"2017","06","Jun","Abilene MSA","Adj","2,889"
"2017","07","Jul","Abilene MSA","Adj","2,672"
"2017","08","Aug","Abilene MSA","Adj","2,830"
"2017","09","Sep","Abilene MSA","Adj","2,665"
"2016","01","Jan","Abilene MSA","Adj","2,829"
"2016","02","Feb","Abilene MSA","Adj","2,798"
"2016","03","Mar","Abilene MSA","Adj","2,944"
"2016","04","Apr","Abilene MSA","Adj","2,962"
"2016","05","May","Abilene MSA","Adj","2,849"
"2016","06","Jun","Abilene MSA","Adj","2,753"
"2016","07","Jul","Abilene MSA","Adj","2,870"
"2016","08","Aug","Abilene MSA","Adj","2,983"
"2016","09","Sep","Abilene MSA","Adj","3,108"
"2016","10","Oct","Abilene MSA","Adj","2,994"
"2016","11","Nov","Abilene MSA","Adj","2,895"
"2016","12","Dec","Abilene MSA","Adj","3,100"
"2015","01","Jan","Abilene MSA","Adj","2,923"
"2015","02","Feb","Abilene MSA","Adj","2,938"
"2015","03","Mar","Abilene MSA","Adj","2,946"
"2015","04","Apr","Abilene MSA","Adj","2,977"
"2015","05","May","Abilene MSA","Adj","2,949"
"2015","06","Jun","Abilene MSA","Adj","2,843"
"2015","07","Jul","Abilene MSA","Adj","2,790"
"2015","08","Aug","Abilene MSA","Adj","2,820"
"2015","09","Sep","Abilene MSA","Adj","2,896"
"2015","10","Oct","Abilene MSA","Adj","2,964"
"2015","11","Nov","Abilene MSA","Adj","2,980"
"2015","12","Dec","Abilene MSA","Adj","2,964"
"2014","01","Jan","Abilene MSA","Adj","3,633"
"2014","02","Feb","Abilene MSA","Adj","3,611"
"2014","03","Mar","Abilene MSA","Adj","3,557"
"2014","04","Apr","Abilene MSA","Adj","3,428"
"2014","05","May","Abilene MSA","Adj","3,330"
"2014","06","Jun","Abilene MSA","Adj","3,269"
"2014","07","Jul","Abilene MSA","Adj","3,264"
"2014","08","Aug","Abilene MSA","Adj","3,241"
"2014","09","Sep","Abilene MSA","Adj","3,159"
"2014","10","Oct","Abilene MSA","Adj","3,088"
"2014","11","Nov","Abilene MSA","Adj","3,010"
"2014","12","Dec","Abilene MSA","Adj","2,935"
"2013","01","Jan","Abilene MSA","Adj","4,347"
"2013","02","Feb","Abilene MSA","Adj","4,268"
"2013","03","Mar","Abilene MSA","Adj","4,177"
"2013","04","Apr","Abilene MSA","Adj","4,183"
"2013","05","May","Abilene MSA","Adj","4,236"
"2013","06","Jun","Abilene MSA","Adj","4,231"
"2013","07","Jul","Abilene MSA","Adj","4,138"
"2013","08","Aug","Abilene MSA","Adj","4,056"
"2013","09","Sep","Abilene MSA","Adj","4,035"
"2013","10","Oct","Abilene MSA","Adj","3,996"
"2013","11","Nov","Abilene MSA","Adj","3,900"
"2013","12","Dec","Abilene MSA","Adj","3,758"
"2012","01","Jan","Abilene MSA","Adj","4,735"
"2012","02","Feb","Abilene MSA","Adj","4,628"
"2012","03","Mar","Abilene MSA","Adj","4,559"
"2012","04","Apr","Abilene MSA","Adj","4,534"
"2012","05","May","Abilene MSA","Adj","4,544"
"2012","06","Jun","Abilene MSA","Adj","4,560"
"2012","07","Jul","Abilene MSA","Adj","4,521"
"2012","08","Aug","Abilene MSA","Adj","4,369"
"2012","09","Sep","Abilene MSA","Adj","4,216"
"2012","10","Oct","Abilene MSA","Adj","4,165"
"2012","11","Nov","Abilene MSA","Adj","4,185"
"2012","12","Dec","Abilene MSA","Adj","4,284"
"2011","01","Jan","Abilene MSA","Adj","5,311"
"2011","02","Feb","Abilene MSA","Adj","5,267"
"2011","03","Mar","Abilene MSA","Adj","5,235"
"2011","04","Apr","Abilene MSA","Adj","5,220"
"2011","05","May","Abilene MSA","Adj","5,237"
"2011","06","Jun","Abilene MSA","Adj","5,273"
"2011","07","Jul","Abilene MSA","Adj","5,272"
"2011","08","Aug","Abilene MSA","Adj","5,273"
"2011","09","Sep","Abilene MSA","Adj","5,247"
"2011","10","Oct","Abilene MSA","Adj","5,101"
"2011","11","Nov","Abilene MSA","Adj","4,936"
"2011","12","Dec","Abilene MSA","Adj","4,837"
"2010","01","Jan","Abilene MSA","Adj","5,341"
"2010","02","Feb","Abilene MSA","Adj","5,343"
"2010","03","Mar","Abilene MSA","Adj","5,349"
"2010","04","Apr","Abilene MSA","Adj","5,342"
"2010","05","May","Abilene MSA","Adj","5,271"
"2010","06","Jun","Abilene MSA","Adj","5,220"
"2010","07","Jul","Abilene MSA","Adj","5,264"
"2010","08","Aug","Abilene MSA","Adj","5,305"
"2010","09","Sep","Abilene MSA","Adj","5,311"
"2010","10","Oct","Abilene MSA","Adj","5,371"
"2010","11","Nov","Abilene MSA","Adj","5,425"
"2010","12","Dec","Abilene MSA","Adj","5,379"
"2009","01","Jan","Abilene MSA","Adj","3,851"
"2009","02","Feb","Abilene MSA","Adj","4,046"
"2009","03","Mar","Abilene MSA","Adj","4,151"
"2009","04","Apr","Abilene MSA","Adj","4,148"
"2009","05","May","Abilene MSA","Adj","4,864"
"2009","06","Jun","Abilene MSA","Adj","5,100"
"2009","07","Jul","Abilene MSA","Adj","5,213"
