Year,Period ID,Period,Area,Adjusted,Unemployment Rate
"2017","01","Jan","Abilene MSA","Adj","4.1"
"2017","02","Feb","Abilene MSA","Adj","4.3"
"2017","03","Mar","Abilene MSA","Adj","4.3"
"2017","04","Apr","Abilene MSA","Adj","4.2"
"2017","05","May","Abilene MSA","Adj","4.1"
"2017","06","Jun","Abilene MSA","Adj","3.9"
"2017","07","Jul","Abilene MSA","Adj","3.6"
"2017","08","Aug","Abilene MSA","Adj","3.8"
"2017","09","Sep","Abilene MSA","Adj","3.6"
"2016","01","Jan","Abilene MSA","Adj","3.8"
"2016","02","Feb","Abilene MSA","Adj","3.7"
"2016","03","Mar","Abilene MSA","Adj","3.9"
"2016","04","Apr","Abilene MSA","Adj","3.9"
"2016","05","May","Abilene MSA","Adj","3.8"
"2016","06","Jun","Abilene MSA","Adj","3.7"
"2016","07","Jul","Abilene MSA","Adj","3.8"
"2016","08","Aug","Abilene MSA","Adj","3.9"
"2016","09","Sep","Abilene MSA","Adj","4.1"
"2016","10","Oct","Abilene MSA","Adj","3.9"
"2016","11","Nov","Abilene MSA","Adj","3.8"
"2016","12","Dec","Abilene MSA","Adj","4.1"
"2015","01","Jan","Abilene MSA","Adj","3.9"
"2015","02","Feb","Abilene MSA","Adj","3.9"
"2015","03","Mar","Abilene MSA","Adj","3.9"
"2015","04","Apr","Abilene MSA","Adj","4.0"
"2015","05","May","Abilene MSA","Adj","3.9"
"2015","06","Jun","Abilene MSA","Adj","3.8"
"2015","07","Jul","Abilene MSA","Adj","3.7"
"2015","08","Aug","Abilene MSA","Adj","3.8"
"2015","09","Sep","Abilene MSA","Adj","3.9"
"2015","10","Oct","Abilene MSA","Adj","4.0"
"2015","11","Nov","Abilene MSA","Adj","4.0"
"2015","12","Dec","Abilene MSA","Adj","4.0"
"2014","01","Jan","Abilene MSA","Adj","4.7"
"2014","02","Feb","Abilene MSA","Adj","4.7"
"2014","03","Mar","Abilene MSA","Adj","4.7"
