id,alcohol_content,bonus_reward_miles,bonus_reward_miles_ends_on,clearance_sale_savings_in_cents,description,has_bonus_reward_miles,has_clearance_sale,has_limited_time_offer,has_value_added_promotion,image_thumb_url,image_url,inventory_count,inventory_price_in_cents,inventory_volume_in_milliliters,is_dead,is_discontinued,is_kosher,is_ocb,is_seasonal,is_vqa,limited_time_offer_ends_on,limited_time_offer_savings_in_cents,name,origin,package,package_unit_type,package_unit_volume_in_milliliters,price_in_cents,price_per_liter_in_cents,price_per_liter_of_alcohol_in_cents,primary_category,producer_name,product_no,regular_price_in_cents,released_on,secondary_category,serving_suggestion,stock_type,style,sugar_content,sugar_in_grams_per_liter,tags,tasting_note,tertiary_category,total_package_units,updated_at,value_added_promotion_description,varietal,volume_in_milliliters
311787,500,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/311787/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/311787/images/full.jpeg,66979,97119550,190086402,False,False,False,False,False,False,,0,Budweiser,"Canada, Ontario",6x473 mL can,can,473,1450,510,1021,Beer,Labatt Breweries Ontario,311787,1450,,Lager,,LCBO,Light & Malty,,,budweiser beer lager canada ontario labatt breweries can,,Pale Lager,6,2017-11-30T14:19:14.888Z,,North American Lager,2838
300681,400,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/300681/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/300681/images/full.jpeg,61364,88977800,174151032,False,False,False,False,False,False,,0,Coors Light,"Canada, Ontario",6x473 mL can,can,473,1450,510,1277,Beer,Molson's Brewery of Canada Limited,300681,1450,,Lager,,LCBO,Light & Malty,,,coors light beer lager canada ontario molson's molsons brewery of limited can,,Light Lager,6,2017-11-30T14:22:15.293Z,,Light Lager,2838
300699,500,0,,0,,False,False,True,False,https://dx5vpyka4lqst.cloudfront.net/products/300699/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/300699/images/full.jpeg,59647,80523450,169278186,False,False,False,False,False,False,2017-12-31,100,Molson Canadian,"Canada, Ontario",6x473 mL can,can,473,1350,475,951,Beer,Molson's Brewery of Canada Limited,300699,1450,,Lager,,LCBO,Light & Malty,,,molson canadian beer lager canada ontario molson's molsons brewery of limited can,,Pale Lager,6,2017-11-30T14:32:12.472Z,,North American Lager,2838
696161,470,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/696161/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/696161/images/full.jpeg,46917,57942495,133150446,False,False,False,False,False,False,,0,Busch,"Canada, Ontario",6x473 mL can,can,473,1235,435,925,Beer,Labatt Breweries Ontario,696161,1235,,Lager,,LCBO,Light & Malty,,,busch beer lager canada ontario labatt breweries can,,Pale Lager,6,2017-11-30T14:19:22.422Z,,North American Lager,2838
186510,459,0,,0,,False,False,True,False,https://dx5vpyka4lqst.cloudfront.net/products/186510/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/186510/images/full.jpeg,58464,77464800,115758720,False,False,False,False,False,False,2017-12-31,125,Corona Extra,"Mexico, Region Not Specified",6x330 mL bottle,bottle,330,1325,669,1457,Beer,Cerveceria Modelo Sa de Cv,186510,1450,,Lager,,LCBO,Light & Malty,,,corona extra beer lager mexico region not specified cerveceria modelo sa de cv bottle,,Pale Lager,6,2017-11-30T14:22:19.213Z,,North American Lager,1980
311779,400,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/311779/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/311779/images/full.jpeg,40497,58720650,114930486,False,False,False,False,False,False,,0,Bud Light,"Canada, Ontario",6x473 mL can,can,473,1450,510,1277,Beer,Labatt Breweries Ontario,311779,1450,,Lager,,LCBO,Light & Malty,,,bud light beer lager canada ontario labatt breweries can,,Light Lager,6,2017-11-30T14:19:12.699Z,,Light Lager,2838
367938,500,0,,0,,False,False,True,False,https://dx5vpyka4lqst.cloudfront.net/products/367938/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/367938/images/full.jpeg,37819,58619450,113457000,False,False,False,False,False,False,2017-12-31,100,Stella Artois,"Belgium, Region Not Specified",6x500 mL can,can,500,1550,516,1033,Beer,Labatt Breweries Ontario,367938,1650,,Lager,,LCBO,Light & Malty,,,stella artois beer lager belgium region not specified labatt breweries ontario can,,Pale Lager,6,2017-11-30T14:37:58.179Z,,European Lager,3000
696468,500,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/696468/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/696468/images/full.jpeg,200664,42139440,94914072,False,False,False,False,False,False,,0,Labatt Blue,"Canada, Ontario",473 mL can,can,473,210,443,887,Beer,Labatt Breweries Ontario,696468,210,,Lager,,LCBO,Light & Malty,,,labatt blue beer lager canada ontario breweries can,,Pale Lager,1,2017-11-30T14:29:44.566Z,,North American Lager,473
302810,500,0,,0,,False,False,False,False,https://dx5vpyka4lqst.cloudfront.net/products/302810/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/302810/images/full.jpeg,31310,51661500,93930000,False,False,False,False,False,False,,0,Heineken,"Netherlands, Region Not Specified",6x500 mL can,can,500,1650,550,1100,Beer,Heineken's Brouwerijen Nederland BV,302810,1650,,Lager,,LCBO,Light & Hoppy,,,heineken beer lager netherlands region not specified heineken's heinekens brouwerijen nederland bv can,,Pale Lager,6,2017-11-30T14:27:11.371Z,,European Lager,3000
535294,500,0,,0,,False,False,True,False,https://dx5vpyka4lqst.cloudfront.net/products/535294/images/thumb.png,https://dx5vpyka4lqst.cloudfront.net/products/535294/images/full.jpeg,186587,39183270,93293500,False,False,False,False,False,False,2017-12-31,30,Grolsch Premium Lager,"Netherlands, Region Not Specified",500 mL can,can,500,210,420,840,Beer,Grolsche Bierbrouwerij B.V.,535294,240,,Lager,,LCBO,Medium & Hoppy,,,grolsch premium lager beer netherlands region not specified grolsche bierbrouwerij bv can,,Pale Lager,1,2017-11-30T14:26:48.239Z,,European Lager,500
