"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,182900,188000,189900,196000,199900,199900,199900,199800,199900,199900,199000,198000,195000,199900,204500,210000,215000,218900,218900,217800,215900,215000,212000,207900,210000,215000,219900,224950,229900,229900,229900,229900,229900,229900,229900,228392,228000,229000,234900,239900,242000,245000,244900,240000,242000,241990,239900,239000,239000,240000,249900,254900,259900,259990,259900,259000,259900,259900
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,350000,359000,365000,369000,375000,369900,369000,364500,365000,365000,369900,369000,369500,372000,379900,389000,395999,399000,399000,399000,398900,399000,395000,395000,399000,399000,399000,399900,399900,409000,419000,409000,409000,410000,405000,399990,419000,419900,419000,429000,429000,429900,429000,425000,429000,429000,429000,425000,429000,432500,439999,449000,458894,459900,459000,449869,450000,459000
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,5e+05,499000,499900,510000,529000,539900,549000,549900,549000,549000,540000,534900,5e+05,525000,545000,559000,575000,599000,599900,599000,599000,599000,599000,599000,599000,599000,6e+05,619999.5,628000,634950,639999,639900,638000,636000,639900,639900,630000,635000,640000,650000,672245,679000,670000,675000,675000,675000,670000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,192000,189000,199775,210000,219900,227000,229900,229000,225000,224900,219900,215000,205992.5,2e+05,214900,225000,229896,236990,239000,237900,235000,230000,229900,227000,221900,220000,229900,239900,249363,249900,254900,249900,249000,249000,247000,242500,239000,239899.5,249900,259500,265000,269000,269900,269000,262000,260000,259900
"Dallas, TX",4,164900,164900,165000,166000,165000,165332.5,164900,165000,178900,171900,165000,159900,159000,159000,162990,165000,169900,169900,169900,169000,164500,161900,158000,153000,155000,158000,156882.5,159000,159900,164900,159990,158900,155000,159900,183990,185000,184900,189000,197500,199990,205045,209000,205990,204922,204900,204983,199990,205000,202484,209000,215000,220000,229000,222500,224109,230000,229000,230000,229500,239900,245000,250000,265000,265990,259990,259900,255000,255900,259000,264900,265000,274900,275000,269900,280000,284900,289000,289495,288990,288625.5,289999,299900,295060,295990,299900,300482.5,312500,319000,320000,320000,319328,315000,319000,318815
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199427,199900,209900,214900,220000,224900,218999,210000,210000,209999,209000,209900,199900,204900,215000,224500,225000,225000,220000,219900,219900,218487.5,214500,2e+05,2e+05,210000,219900,225000,229900,229761,224900,220000,224000,219500,215700,209900,204000,207000,218000,224900,226000,229900,224922,219900,219900,219900,215000,201635,199999.5,205800,219900,229900,235000,235000,235000,229900,231900,235000
"Houston, TX",6,159000,159900,160000,160000,159900,159900,159000,159900,170990,169900,169900,168990,165900,165900,168700,167900,169500,169854,168500,165900,159900,159900,155000,157500,159000,159900,160618.5,164990,165000,165000,164900,164995,164900,165000,177500,180000,181950,190000,196182,199500,200990,206000,206990,206990,209900,216715,210000,213000,214900,222490,228000,236902,239900,240000,241601,247779,250000,251570,258020,269900,277620,282500,287990,294950,285990,279500,289900,294700,294000,298511.5,298990,300970,3e+05,289900,294990,294900,292647,294922.5,290000,289270,287500,289000,282900,279990,280990,285000,289900,293990,294900,293990,289900,289900,289999,289900
"Washington, DC",7,279900,284900,289900,299000,289995,285000,284500,279000,295000,294750,285000,272000,261450,269900,282100,289900,299900,299999,299900,299900,299000,295000,279000,270000,274950,279900,289900,299900,315000,319990,314990,309000,3e+05,309900,344900,335000,335000,347500,354000,369000,377900,379900,375000,369900,370000,369900,360000,359900,353990,360000,375000,384990,394900,391900,389900,385000,385000,384900,379000,369990,365000,369900,380000,389990,396000,395000,375000,384995,389000,385000,379900,376999,379900,379900,390000,409000,409990,409900,4e+05,399900,399900,399900,399900,396950,394990,399900,417000,425000,429900,429000,425000,419900,419900,419643
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255000,250000,249986,250000,249900,250000,250000,259000,252500,255000,259900,259000,265000,265000,264900,274900,280000,275000,269000,271000,285000,289536,295000,295900,302745,308000,305000,309000,3e+05,319900,322990,325000,325000,329000,330000,334000,335000,332995,330000,335000,339000,340000,345900,349000,349000,349000,349900,347500
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,182500,178000,185000,195900,2e+05,206900,214900,214900,210000,208000,200175,199900,190000,199000,2e+05,204000,209000,214900,216990,215000,219900,219900,219900,219000,219000,219734,219900,224990,229900,235000,239000,239550,235000,235000,237070,235000,232900,232225,235000,249000,256000,259900,261990,260000,259900,260000,263000
