,City,Year,Rent,Sale,Income,Employment,Labor Force,Unemployment,Unemployment Rate
0,Austin,2010,1312,205948,40078,865594.0833333334,930642.3333333334,65048.25,6.991666666666667
1,Austin,2011,1359,197095,42948,897547.5833333334,960890.1666666666,63342.583333333336,6.583333333333333
2,Austin,2012,1411,199326,45943,932521.8333333334,988656.4166666666,56134.583333333336,5.675
3,Austin,2013,1482,246825,46241,969783.8333333334,1022318.8333333334,52535.0,5.125
4,Austin,2014,1592,289297,49001,1003511.5,1047615.8333333334,44104.333333333336,4.216666666666666
5,Austin,2015,1696,322068,51014,1033714.4166666666,1069761.4166666667,36047.0,3.358333333333333
6,Dallas,2010,1297,166394,40613,3034310.9166666665,3300698.5,266387.5833333333,8.075000000000001
7,Dallas,2011,1308,163507,44378,3118899.0,3374193.3333333335,255294.33333333334,7.566666666666667
8,Dallas,2012,1326,163038,46281,3198143.1666666665,3423557.8333333335,225414.66666666666,6.566666666666666
9,Dallas,2013,1375,200935,46615,3275413.3333333335,3486004.4166666665,210591.08333333334,6.041666666666665
10,Dallas,2014,1424,223374,49362,3357294.0,3534699.1666666665,177405.16666666666,5.0249999999999995
11,Dallas,2015,1499,260048,51099,3438455.0833333335,3584128.3333333335,145673.25,4.058333333333333
12,El Paso,2010,1087,141845,28074,310943.0,342243.9166666667,31300.916666666668,9.133333333333333
13,El Paso,2011,1059,145720,29329,315162.0,348088.3333333333,32926.333333333336,9.458333333333334
14,El Paso,2012,1074,147125,30281,319349.0,349149.3333333333,29800.333333333332,8.525
15,El Paso,2013,1007,149750,29701,322059.0,349460.0,27401.0,7.849999999999999
16,El Paso,2014,1024,154466,31081,323608.3333333333,345863.6666666667,22255.333333333332,6.441666666666666
17,El Paso,2015,1050,155337,32598,326661.9166666667,344684.75,18022.833333333332,5.233333333333334
18,Houston,2010,1365,163115,44498,2724919.0833333335,2970275.3333333335,245356.25,8.258333333333333
19,Houston,2011,1361,164537,47498,2803589.9166666665,3041052.5,237462.58333333334,7.816666666666666
20,Houston,2012,1365,165983,51633,2909876.25,3115587.4166666665,205711.16666666666,6.633333333333333
21,Houston,2013,1412,203184,50910,3000651.3333333335,3191147.5,190496.16666666666,5.966666666666666
22,Houston,2014,1473,241755,53660,3078909.8333333335,3239103.0833333335,160193.25,4.941666666666667
23,Houston,2015,1570,290468,54346,3103222.5833333335,3253140.3333333335,149917.75,4.6000000000000005
